date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:58:10	27355/27355	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Aug%202025%2012:58:09%20GMT	https://spi.bakusoku-shukatsu.jp/	C:/My%20Web%20Sites/tera/spi.bakusoku-shukatsu.jp/index.html	(from )
21:58:10	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-63248d253b800%22	https://spi.bakusoku-shukatsu.jp/robots.txt		(from )
21:59:05	8186/8186	---M--	200	added ('OK')	image/png	etag:%221ffa-6362296f9b880%22	https://spi.bakusoku-shukatsu.jp/images/v1_5.png	C:/My%20Web%20Sites/tera/spi.bakusoku-shukatsu.jp/images/v1_5.png	(from https://spi.bakusoku-shukatsu.jp/)
21:59:25	1576/1576	---M--	200	added ('OK')	image/png	etag:%22628-636227ca15600%22	https://spi.bakusoku-shukatsu.jp/images/v1_174.png	C:/My%20Web%20Sites/tera/spi.bakusoku-shukatsu.jp/images/v1_174.png	(from https://spi.bakusoku-shukatsu.jp/)
21:59:27	10291/10291	---M--	200	added ('OK')	image/png	etag:%222833-636227ca15600%22	https://spi.bakusoku-shukatsu.jp/images/v1_173.png	C:/My%20Web%20Sites/tera/spi.bakusoku-shukatsu.jp/images/v1_173.png	(from https://spi.bakusoku-shukatsu.jp/)
21:59:27	12713/12713	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Aug%202025%2012:59:27%20GMT	https://spi.bakusoku-shukatsu.jp/exam/select-mode	C:/My%20Web%20Sites/tera/spi.bakusoku-shukatsu.jp/exam/select-mode.html	(from https://spi.bakusoku-shukatsu.jp/)
21:59:28	7130/7130	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Aug%202025%2012:59:27%20GMT	https://spi.bakusoku-shukatsu.jp/lp	C:/My%20Web%20Sites/tera/spi.bakusoku-shukatsu.jp/lp.html	(from https://spi.bakusoku-shukatsu.jp/)
21:59:31	13877/13877	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Aug%202025%2012:59:27%20GMT	https://spi.bakusoku-shukatsu.jp/exam/pre-exam/8	C:/My%20Web%20Sites/tera/spi.bakusoku-shukatsu.jp/exam/pre-exam/8.html	(from https://spi.bakusoku-shukatsu.jp/)
21:59:32	13877/13877	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Aug%202025%2012:59:31%20GMT	https://spi.bakusoku-shukatsu.jp/exam/pre-exam/9	C:/My%20Web%20Sites/tera/spi.bakusoku-shukatsu.jp/exam/pre-exam/9.html	(from https://spi.bakusoku-shukatsu.jp/)
21:59:35	13878/13878	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Aug%202025%2012:59:32%20GMT	https://spi.bakusoku-shukatsu.jp/exam/pre-exam/10	C:/My%20Web%20Sites/tera/spi.bakusoku-shukatsu.jp/exam/pre-exam/10.html	(from https://spi.bakusoku-shukatsu.jp/)
21:59:36	13881/13881	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Aug%202025%2012:59:35%20GMT	https://spi.bakusoku-shukatsu.jp/exam/pre-exam/14	C:/My%20Web%20Sites/tera/spi.bakusoku-shukatsu.jp/exam/pre-exam/14.html	(from https://spi.bakusoku-shukatsu.jp/)
21:59:36	13877/13877	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Aug%202025%2012:59:35%20GMT	https://spi.bakusoku-shukatsu.jp/exam/pre-exam/5	C:/My%20Web%20Sites/tera/spi.bakusoku-shukatsu.jp/exam/pre-exam/5.html	(from https://spi.bakusoku-shukatsu.jp/)
21:59:36	13877/13877	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Aug%202025%2012:59:36%20GMT	https://spi.bakusoku-shukatsu.jp/exam/pre-exam/6	C:/My%20Web%20Sites/tera/spi.bakusoku-shukatsu.jp/exam/pre-exam/6.html	(from https://spi.bakusoku-shukatsu.jp/)
21:59:36	53785/53785	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Aug%202025%2012:59:36%20GMT	https://spi.bakusoku-shukatsu.jp/terms	C:/My%20Web%20Sites/tera/spi.bakusoku-shukatsu.jp/terms.html	(from https://spi.bakusoku-shukatsu.jp/)
